Company Name,Industry,Sector,Country,Report Type,Report Year,Report Link,Source,Download Result
Helbor Empreendimentos SA,Real Estate,Infrastructure,Brazil,Sustainability Report,2023,https://issuu.com/revistahelbor/docs/relatorio_de_sustentabilidade_2023?fr=xKAE9_zU1NQ,SASB,"⚠️ HTTPSConnectionPool(host='issuu.com', port=443): Max retries exceeded with url: /revistahelbor/docs/relatorio_de_sustentabilidade_2023?fr=xKAE9_zU1NQ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3693250>: Failed to resolve 'issuu.com' ([Errno 11001] getaddrinfo failed)""))"
Helen of Troy Ltd,Appliance Manufacturing,Consumer Goods,United States,ESG Report,2024,https://www.helenoftroy.com/wp-content/uploads/2024/06/HELE-ESG-REPORT-FY24.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.helenoftroy.com', port=443): Max retries exceeded with url: /wp-content/uploads/2024/06/HELE-ESG-REPORT-FY24.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E37476D0>: Failed to resolve 'www.helenoftroy.com' ([Errno 11001] getaddrinfo failed)""))"
Helios Towers PLC,Telecommunication Services,Technology & Communications,Britain,Supplement Annual Report,2023,https://www.heliostowers.com/media/eqneeido/reporting-supplement-2023-helios-towers.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.heliostowers.com', port=443): Max retries exceeded with url: /media/eqneeido/reporting-supplement-2023-helios-towers.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E374EE90>: Failed to resolve 'www.heliostowers.com' ([Errno 11001] getaddrinfo failed)""))"
Helix Energy Solutions Group Inc,Oil & Gas – Services,Extractives & Minerals Processing,United States,CSR Report,2024,https://helixesg.com/img/2024-Helix-Corporate-Sustainability-Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='helixesg.com', port=443): Max retries exceeded with url: /img/2024-Helix-Corporate-Sustainability-Report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E350C090>: Failed to resolve 'helixesg.com' ([Errno 11001] getaddrinfo failed)""))"
Hellenic Cables Holdings SA,Electrical & Electronic Equipment,Resource Transformation,Greece,Sustainability Report,2022,https://www.hellenic-cables.com/wp-content/uploads/Hellenic_Cables_Sustainability-Report_2022.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hellenic-cables.com', port=443): Max retries exceeded with url: /wp-content/uploads/Hellenic_Cables_Sustainability-Report_2022.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3738DD0>: Failed to resolve 'www.hellenic-cables.com' ([Errno 11001] getaddrinfo failed)""))"
Hellenic Telecommunications Or,Telecommunication Services,Technology & Communications,Greece,Integrated Report,2023,https://www.cosmote.gr/otegroup_company/annualreport/2023/ANNUAL_FINANCIAL_REPORT_2023_en.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.cosmote.gr', port=443): Max retries exceeded with url: /otegroup_company/annualreport/2023/ANNUAL_FINANCIAL_REPORT_2023_en.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3755A10>: Failed to resolve 'www.cosmote.gr' ([Errno 11001] getaddrinfo failed)""))"
Helmerich & Payne Inc,Oil & Gas – Services,Extractives & Minerals Processing,United States,ESG Index,2024,https://h-p.canto.com/pdfviewer/viewer/viewer.html?share=share%2Calbum%2CKFPKH&column=document&id=iff2d8t0tl6559daomcn4g687m&suffix=pdf&print=1,SASB,"⚠️ HTTPSConnectionPool(host='h-p.canto.com', port=443): Max retries exceeded with url: /pdfviewer/viewer/viewer.html?share=share%2Calbum%2CKFPKH&column=document&id=iff2d8t0tl6559daomcn4g687m&suffix=pdf&print=1 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3738D90>: Failed to resolve 'h-p.canto.com' ([Errno 11001] getaddrinfo failed)""))"
Helvetia Holding AG,Insurance,Financials,Switzerland,Sustainability Report,2024,https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/sustainability-statement-2024.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.helvetia.com', port=443): Max retries exceeded with url: /content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/sustainability-statement-2024.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3746610>: Failed to resolve 'www.helvetia.com' ([Errno 11001] getaddrinfo failed)""))"
Helvetia Schweizerische Versicherungsgesellschaft AG,Insurance,Financials,Switzerland,Annual Report,2024,https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/annual-report-2024.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.helvetia.com', port=443): Max retries exceeded with url: /content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/annual-report-2024.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E374F1D0>: Failed to resolve 'www.helvetia.com' ([Errno 11001] getaddrinfo failed)""))"
Hengyi Petrochemical Co Ltd,Chemicals,Resource Transformation,China,ESG Report,2023,http://en.hengyi.com/,SASB,"⚠️ HTTPConnectionPool(host='en.hengyi.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000243E3745990>: Failed to resolve 'en.hengyi.com' ([Errno 11001] getaddrinfo failed)""))"
"Henry Schein, Inc.",Health Care Distributors,Health Care,United States,ESG Index,2023,https://www.henryschein.com/us-en/images/corporate/2023ESGReportIndex.pdf?cdivid=corporate,SASB,"⚠️ HTTPSConnectionPool(host='www.henryschein.com', port=443): Max retries exceeded with url: /us-en/images/corporate/2023ESGReportIndex.pdf?cdivid=corporate (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3719490>: Failed to resolve 'www.henryschein.com' ([Errno 11001] getaddrinfo failed)""))"
Hera SpA,Gas Utilities & Distributors,Infrastructure,Italy,Bilancio di sostenibilità,2023,https://www.gruppohera.it/documents/688182/0/Bilancio+di+Sostenibilit%C3%A0+2023+%E2%80%93+Dichiarazione+consolidata+non+finanziaria+redatta+ai+sensi+del+D.Lgs.+n.+254_2016.pdf/9373aa28-b405-383e-05c6-b8c178d5eeaa?t=1712578811291,SASB,"⚠️ HTTPSConnectionPool(host='www.gruppohera.it', port=443): Max retries exceeded with url: /documents/688182/0/Bilancio+di+Sostenibilit%C3%A0+2023+%E2%80%93+Dichiarazione+consolidata+non+finanziaria+redatta+ai+sensi+del+D.Lgs.+n.+254_2016.pdf/9373aa28-b405-383e-05c6-b8c178d5eeaa?t=1712578811291 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36B8A50>: Failed to resolve 'www.gruppohera.it' ([Errno 11001] getaddrinfo failed)""))"
Herbalife Ltd,Processed Foods,Food & Beverage,United States,Sustainability Report,2021-2022,https://d1io3yog0oux5.cloudfront.net/_8d5904abe2db0422bf5d2a18683f9d82/herbalife/files/pages/herbalife/db/1152/description/Herbalife_2021-2022_GSR_ADA.pdf,SASB,"⚠️ HTTPSConnectionPool(host='d1io3yog0oux5.cloudfront.net', port=443): Max retries exceeded with url: /_8d5904abe2db0422bf5d2a18683f9d82/herbalife/files/pages/herbalife/db/1152/description/Herbalife_2021-2022_GSR_ADA.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3692750>: Failed to resolve 'd1io3yog0oux5.cloudfront.net' ([Errno 11001] getaddrinfo failed)""))"
Herc Holdings Inc,Industrial Machinery & Goods,Resource Transformation,United States,SASB Index,2024,https://s29.q4cdn.com/503541803/files/doc_downloads/2024/08/08/hri-2024-CCR-SASB-8-14-24.pdf,SASB,"⚠️ HTTPSConnectionPool(host='s29.q4cdn.com', port=443): Max retries exceeded with url: /503541803/files/doc_downloads/2024/08/08/hri-2024-CCR-SASB-8-14-24.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E374E610>: Failed to resolve 's29.q4cdn.com' ([Errno 11001] getaddrinfo failed)""))"
Herc Rentals Inc,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Citizenship Report,2021,https://viz.tools.investis.com/herc_rental/flipping-book/2021-Corporate-Citizenship-Report/index.html,SASB,"⚠️ HTTPSConnectionPool(host='viz.tools.investis.com', port=443): Max retries exceeded with url: /herc_rental/flipping-book/2021-Corporate-Citizenship-Report/index.html (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36BB290>: Failed to resolve 'viz.tools.investis.com' ([Errno 11001] getaddrinfo failed)""))"
HERE Technologies,Software & IT Services,Technology & Communications,Netherlands,Sustainability Report,2024,https://www.here.com/sites/g/files/odxslz256/files/2024-06/here_sustainability_report_update_11_6_24.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.here.com', port=443): Max retries exceeded with url: /sites/g/files/odxslz256/files/2024-06/here_sustainability_report_update_11_6_24.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3745A50>: Failed to resolve 'www.here.com' ([Errno 11001] getaddrinfo failed)""))"
Heritage Commerce Corp,Commercial Banks,Financials,United States,Sustainability Report,2024,https://s26.q4cdn.com/293620860/files/doc_downloads/2024/heritagebank_2024_sustainability-report-final.pdf,SASB,"⚠️ HTTPSConnectionPool(host='s26.q4cdn.com', port=443): Max retries exceeded with url: /293620860/files/doc_downloads/2024/heritagebank_2024_sustainability-report-final.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3746D50>: Failed to resolve 's26.q4cdn.com' ([Errno 11001] getaddrinfo failed)""))"
Heritage Financial Corp/WA,Commercial Banks,Financials,United States,SASB Report,2023,https://www.heritagebanknw.com/home/fiFiles/static/documents/HFC-SASB-Disclosure12-31-22.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.heritagebanknw.com', port=443): Max retries exceeded with url: /home/fiFiles/static/documents/HFC-SASB-Disclosure12-31-22.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E373B210>: Failed to resolve 'www.heritagebanknw.com' ([Errno 11001] getaddrinfo failed)""))"
Hermes International,"Apparel, Accessories & Footwear",Consumer Goods,France,Universal Registration Document,2024,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2025-03/1743171341/250328_hermes_urd2024_en.pdf?VersionId=ZZZMxGiUT7xHs0CZUKn6vrm0L1EvqtfS,SASB,"⚠️ HTTPSConnectionPool(host='assets-finance.hermes.com', port=443): Max retries exceeded with url: /s3fs-public/node/pdf_file/2025-03/1743171341/250328_hermes_urd2024_en.pdf?VersionId=ZZZMxGiUT7xHs0CZUKn6vrm0L1EvqtfS (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E374F6D0>: Failed to resolve 'assets-finance.hermes.com' ([Errno 11001] getaddrinfo failed)""))"
Hersha Hospitality Trust,Real Estate,Infrastructure,United States,Sustainability Report,2022,https://hershaearthview2022.com/wp-content/uploads/Hersha_EarthView_2022_SustainabilityReport.pdf,SASB,"⚠️ HTTPSConnectionPool(host='hershaearthview2022.com', port=443): Max retries exceeded with url: /wp-content/uploads/Hersha_EarthView_2022_SustainabilityReport.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3747350>: Failed to resolve 'hershaearthview2022.com' ([Errno 11001] getaddrinfo failed)""))"
Hertz Global Holdings Inc,Car Rental & Leasing,Transportation,United States,Sustainability Report,2023,https://ir.hertz.com/static-files/de3a37f5-3962-4171-babc-9d08ea0f7ec5,SASB,"⚠️ HTTPSConnectionPool(host='ir.hertz.com', port=443): Max retries exceeded with url: /static-files/de3a37f5-3962-4171-babc-9d08ea0f7ec5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3754510>: Failed to resolve 'ir.hertz.com' ([Errno 11001] getaddrinfo failed)""))"
Heska Corp,Health Care Delivery,Health Care,United States,ESG Report,2021,https://ir.heska.com/assets/uploads/2022/08/Heska-ESG-Factsheet-FY2021.pdf,SASB,"⚠️ HTTPSConnectionPool(host='ir.heska.com', port=443): Max retries exceeded with url: /assets/uploads/2022/08/Heska-ESG-Factsheet-FY2021.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E374C150>: Failed to resolve 'ir.heska.com' ([Errno 11001] getaddrinfo failed)""))"
Hess Corp,Oil & Gas – Exploration & Production,Extractives & Minerals Processing,United States,ESG Index,2022,https://www.hess.com/docs/default-source/sustainability/hess-gri-content-index-2022.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hess.com', port=443): Max retries exceeded with url: /docs/default-source/sustainability/hess-gri-content-index-2022.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3727050>: Failed to resolve 'www.hess.com' ([Errno 11001] getaddrinfo failed)""))"
Hess Midstream LP,Oil & Gas – Midstream,Extractives & Minerals Processing,United States,ESG Index,2023,https://hessmidstream.gcs-web.com/static-files/950b70a8-2919-45fe-9d1c-f19e4fb9b39e,SASB,"⚠️ HTTPSConnectionPool(host='hessmidstream.gcs-web.com', port=443): Max retries exceeded with url: /static-files/950b70a8-2919-45fe-9d1c-f19e4fb9b39e (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36BB350>: Failed to resolve 'hessmidstream.gcs-web.com' ([Errno 11001] getaddrinfo failed)""))"
Hewlett Packard Enterprise Co HPE,Software & IT Services,Technology & Communications,United States,ESG Index,2022,https://www.hpe.com/psnow/doc/a50008396enw.pdf?jumpid=in_pdfviewer-psnow,SASB,"⚠️ HTTPSConnectionPool(host='www.hpe.com', port=443): Max retries exceeded with url: /psnow/doc/a50008396enw.pdf?jumpid=in_pdfviewer-psnow (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36BBB10>: Failed to resolve 'www.hpe.com' ([Errno 11001] getaddrinfo failed)""))"
Hexagon AB,Software & IT Services,Technology & Communications,Sweden,Sustainability Report,2024,https://api.alertir.com/files/press/hexagon/202503255363-1.pdf,SASB,"⚠️ HTTPSConnectionPool(host='api.alertir.com', port=443): Max retries exceeded with url: /files/press/hexagon/202503255363-1.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3754250>: Failed to resolve 'api.alertir.com' ([Errno 11001] getaddrinfo failed)""))"
HF Sinclair Corp,Oil & Gas – Refining & Marketing,Extractives & Minerals Processing,United States,Sustainability Report,2023,https://online.flippingbook.com/view/828474915/,SASB,"⚠️ HTTPSConnectionPool(host='online.flippingbook.com', port=443): Max retries exceeded with url: /view/828474915/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E350FA10>: Failed to resolve 'online.flippingbook.com' ([Errno 11001] getaddrinfo failed)""))"
High Liner Foods Inc,Processed Foods,Food & Beverage,Canada,Sustainability Report,2022,https://sustainability.highlinerfoods.com/2022/_doc/HLF-2022-Sustainability-Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='sustainability.highlinerfoods.com', port=443): Max retries exceeded with url: /2022/_doc/HLF-2022-Sustainability-Report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E350C190>: Failed to resolve 'sustainability.highlinerfoods.com' ([Errno 11001] getaddrinfo failed)""))"
Highwealth Construction Corp,Home Builders,Infrastructure,Taiwan,ESG Report,2021,https://www.highwealth.com.tw/upload/enterprise/110%E5%B9%B4%E5%BA%A6%E8%88%88%E5%AF%8C%E7%99%BC%E5%BB%BA%E8%A8%ADESG%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.highwealth.com.tw', port=443): Max retries exceeded with url: /upload/enterprise/110%E5%B9%B4%E5%BA%A6%E8%88%88%E5%AF%8C%E7%99%BC%E5%BB%BA%E8%A8%ADESG%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36BBD90>: Failed to resolve 'www.highwealth.com.tw' ([Errno 11001] getaddrinfo failed)""))"
Highwoods Properties Inc,Real Estate,Infrastructure,United States,CSR Report,2022,https://www.paperturn-view.com/us/highwoods/hiw-crr-2022-final?pid=MzI325519,SASB,"⚠️ HTTPSConnectionPool(host='www.paperturn-view.com', port=443): Max retries exceeded with url: /us/highwoods/hiw-crr-2022-final?pid=MzI325519 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3724690>: Failed to resolve 'www.paperturn-view.com' ([Errno 11001] getaddrinfo failed)""))"
Highwoods Realty LP,Real Estate,Infrastructure,United States,CSR Report,2023,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/HIW_CRR_2023_v8.pdf,SASB,"⚠️ HTTPSConnectionPool(host='s3.us-east-1.amazonaws.com', port=443): Max retries exceeded with url: /assets-v2.highwoods.com/content-refresh/HIW_CRR_2023_v8.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3726450>: Failed to resolve 's3.us-east-1.amazonaws.com' ([Errno 11001] getaddrinfo failed)""))"
Hikma Pharmaceuticals PLC,Biotechnology & Pharmaceuticals,Health Care,Jordan,Sustainability Report,2023,https://www.hikma.com/media/unxpgids/hikma_sr2023.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hikma.com', port=443): Max retries exceeded with url: /media/unxpgids/hikma_sr2023.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E373BE50>: Failed to resolve 'www.hikma.com' ([Errno 11001] getaddrinfo failed)""))"
Hillenbrand Inc,Industrial Machinery & Goods,Resource Transformation,United States,Sustainability Report,2023,https://hillenbrand.com/wp-content/uploads/2024/05/Hillenbrand_2023_Sustainability_Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='hillenbrand.com', port=443): Max retries exceeded with url: /wp-content/uploads/2024/05/Hillenbrand_2023_Sustainability_Report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E37448D0>: Failed to resolve 'hillenbrand.com' ([Errno 11001] getaddrinfo failed)""))"
Hilton Food Group PLC,Food Retailers & Distributors,Food & Beverage,Britain,Annual Report,2023,https://www.hiltonfoods.com/media/0jjnh5ql/hilton_ar23_web.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hiltonfoods.com', port=443): Max retries exceeded with url: /media/0jjnh5ql/hilton_ar23_web.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E376A810>: Failed to resolve 'www.hiltonfoods.com' ([Errno 11001] getaddrinfo failed)""))"
Hilton Worldwide Holdings Inc,Hotels & Lodging,Services,United States,ESG Report,2022,https://esg.hilton.com/wp-content/uploads/sites/4/2023/04/Hilton-2022-Environmental-Social-and-Governance-Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='esg.hilton.com', port=443): Max retries exceeded with url: /wp-content/uploads/sites/4/2023/04/Hilton-2022-Environmental-Social-and-Governance-Report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E37183D0>: Failed to resolve 'esg.hilton.com' ([Errno 11001] getaddrinfo failed)""))"
Hindalco Industries Ltd,Metals & Mining,Extractives & Minerals Processing,India,Integrated Report,2023-2024,https://www.hindalco.com/upload/pdf/hindalco-annual-report-2023-24.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hindalco.com', port=443): Max retries exceeded with url: /upload/pdf/hindalco-annual-report-2023-24.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3768990>: Failed to resolve 'www.hindalco.com' ([Errno 11001] getaddrinfo failed)""))"
Hindustan Petroleum Corp Ltd,Oil & Gas – Refining & Marketing,Extractives & Minerals Processing,India,Sustainability Report,2022-2023,https://www.hindustanpetroleum.com/documents/pdf/HPCL_Sustainability_Report_2022-23.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hindustanpetroleum.com', port=443): Max retries exceeded with url: /documents/pdf/HPCL_Sustainability_Report_2022-23.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E350E810>: Failed to resolve 'www.hindustanpetroleum.com' ([Errno 11001] getaddrinfo failed)""))"
Hisense International,Appliance Manufacturing,Consumer Goods,China,ESG Report,2023,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0424/2024042401955_c.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www1.hkexnews.hk', port=443): Max retries exceeded with url: /listedco/listconews/sehk/2024/0424/2024042401955_c.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3744ED0>: Failed to resolve 'www1.hkexnews.hk' ([Errno 11001] getaddrinfo failed)""))"
Hitachi Ltd,Electrical & Electronic Equipment,Resource Transformation,Japan,SASB index,2023,https://www.hitachi.com/sustainability/sasb/index.html,SASB,"⚠️ HTTPSConnectionPool(host='www.hitachi.com', port=443): Max retries exceeded with url: /sustainability/sasb/index.html (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E350C610>: Failed to resolve 'www.hitachi.com' ([Errno 11001] getaddrinfo failed)""))"
Hite Jinro Co Ltd,Alcoholic Beverages,Food & Beverage,South Korea,Sustainability Report,2024,https://cn.hitejinro.com/assets/download/esg_report/%ED%95%98%EC%9D%B4%ED%8A%B8%EC%A7%84%EB%A1%9C%202024%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C_%EC%98%81%EB%AC%B8.pdf,SASB,"⚠️ HTTPSConnectionPool(host='cn.hitejinro.com', port=443): Max retries exceeded with url: /assets/download/esg_report/%ED%95%98%EC%9D%B4%ED%8A%B8%EC%A7%84%EB%A1%9C%202024%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C_%EC%98%81%EB%AC%B8.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E0D1CA50>: Failed to resolve 'cn.hitejinro.com' ([Errno 11001] getaddrinfo failed)""))"
HitecVision AS,Asset Management & Custody Activities,Financials,Norway,ESG Report,2023,https://hitecvision.com/wp-content/uploads/2024/05/HitecVision-Integrated-Sustainability-Report-2023.pdf,SASB,"⚠️ HTTPSConnectionPool(host='hitecvision.com', port=443): Max retries exceeded with url: /wp-content/uploads/2024/05/HitecVision-Integrated-Sustainability-Report-2023.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E36927D0>: Failed to resolve 'hitecvision.com' ([Errno 11001] getaddrinfo failed)""))"
Hitron Technology Inc,Electronic Manufacturing Services & Original Design Manufacturing,Technology & Communications,Taiwan,Sustainability Report,2023,https://www.hitrontech.com/wp-content/uploads/2024/08/2023-Hitron-ESG.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hitrontech.com', port=443): Max retries exceeded with url: /wp-content/uploads/2024/08/2023-Hitron-ESG.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E373A190>: Failed to resolve 'www.hitrontech.com' ([Errno 11001] getaddrinfo failed)""))"
HK Electric Investments,Electrical & Electronic Equipment,Resource Transformation,Hong Kong,SASB Index,2023,https://www.hkelectric.com/documents/en/CorporateSocialResponsibility/CorporateSocialResponsibility_CDD/Documents/SR2023E_SASBCI.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hkelectric.com', port=443): Max retries exceeded with url: /documents/en/CorporateSocialResponsibility/CorporateSocialResponsibility_CDD/Documents/SR2023E_SASBCI.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E350F150>: Failed to resolve 'www.hkelectric.com' ([Errno 11001] getaddrinfo failed)""))"
HKBN Ltd.,Telecommunication Services,Technology & Communications,Hong Kong,Annual Report,2024,https://reg.hkbn.net/WwwCMS/upload/pdf/en/e_AnnualReport_2024.pdf,SASB,"⚠️ HTTPSConnectionPool(host='reg.hkbn.net', port=443): Max retries exceeded with url: /WwwCMS/upload/pdf/en/e_AnnualReport_2024.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3755D10>: Failed to resolve 'reg.hkbn.net' ([Errno 11001] getaddrinfo failed)""))"
HL Holdings Corp,Auto Parts,Transportation,South Korea,Sustainability Report,2023,https://www.hanglung.com/getmedia/b7e70da1-80b0-46e7-befe-03e5a633e97e/hlp_sr2023_e_0327.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hanglung.com', port=443): Max retries exceeded with url: /getmedia/b7e70da1-80b0-46e7-befe-03e5a633e97e/hlp_sr2023_e_0327.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E37748D0>: Failed to resolve 'www.hanglung.com' ([Errno 11001] getaddrinfo failed)""))"
HLB Inc,Industrial Machinery & Goods,Resource Transformation,South Korea,ESG Report,2023,https://www.hlbkorea.com/en/include/images/sub/esg/HLB_2023_ESG_report_en.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hlbkorea.com', port=443): Max retries exceeded with url: /en/include/images/sub/esg/HLB_2023_ESG_report_en.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3693F90>: Failed to resolve 'www.hlbkorea.com' ([Errno 11001] getaddrinfo failed)""))"
HMM Co Ltd,Marine Transportation,Transportation,South Korea,ESG Report,2023,https://www.hmm21.com/data_files/company/files/download/HMM_sustainability_report_2023(ENG).pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hmm21.com', port=443): Max retries exceeded with url: /data_files/company/files/download/HMM_sustainability_report_2023(ENG).pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E37759D0>: Failed to resolve 'www.hmm21.com' ([Errno 11001] getaddrinfo failed)""))"
Hoegh Autoliners ASA,Marine Transportation,Transportation,Norway,Annual Report,2022,https://www.hoeghautoliners.com/investors/reports-and-presentations/_/attachment/download/e07e7974-4cdb-4323-8293-ef86ac8c3342:c3cf3e925cfde4a0143e0fb445b812f8a247dcbb/H%C3%B6egh%20Autoliners_Annual%20Report%202022.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.hoeghautoliners.com', port=443): Max retries exceeded with url: /investors/reports-and-presentations/_/attachment/download/e07e7974-4cdb-4323-8293-ef86ac8c3342:c3cf3e925cfde4a0143e0fb445b812f8a247dcbb/H%C3%B6egh%20Autoliners_Annual%20Report%202022.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3744350>: Failed to resolve 'www.hoeghautoliners.com' ([Errno 11001] getaddrinfo failed)""))"
Hoegh LNG Holdings Ltd,Marine Transportation,Transportation,Norway,Sustainability Report,2023,https://s202.q4cdn.com/811024256/files/doc_financials/2023/sr/Ho%CC%88egh_LNG_Sustainability_Report_2023_in_PDF_Format.pdf,SASB,"⚠️ HTTPSConnectionPool(host='s202.q4cdn.com', port=443): Max retries exceeded with url: /811024256/files/doc_financials/2023/sr/Ho%CC%88egh_LNG_Sustainability_Report_2023_in_PDF_Format.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3757210>: Failed to resolve 's202.q4cdn.com' ([Errno 11001] getaddrinfo failed)""))"
